Date,Forward_PE,Data_Source,Notes
FORWARD P/E - Historical Calibration Data,,,
AUTO-FILLED from Yardeni baseline,,,
Source: Embedded Yardeni Research data,,,
156 weeks for calibration,,,
Status: Ready for threshold analysis,,,
--- AUTO-FILLED DATA BELOW ---,,,
2020-10-07,23.2,,
2020-10-14,23.2,,
2020-10-21,23.2,,
2020-10-28,23.2,,
2020-11-07,23.2,,
2020-11-14,23.2,,
2020-11-21,23.2,,
2020-11-28,23.2,,
2020-12-07,23.2,,
2020-12-14,23.2,,
2020-12-21,23.2,,
2020-12-28,23.2,,
2021-01-07,22.5,,
2021-01-14,22.5,,
2021-01-21,22.5,,
2021-01-28,22.5,,
2021-02-07,22.5,,
2021-02-14,22.5,,
2021-02-21,22.5,,
2021-02-28,22.5,,
2021-03-07,22.5,,
2021-03-14,22.5,,
2021-03-21,22.5,,
2021-03-28,22.5,,
2021-04-07,21.8,,
2021-04-14,21.8,,
2021-04-21,21.8,,
2021-04-28,21.8,,
2021-05-07,21.8,,
2021-05-14,21.8,,
2021-05-21,21.8,,
2021-05-28,21.8,,
2021-06-07,21.8,,
2021-06-14,21.8,,
2021-06-21,21.8,,
2021-06-28,21.8,,
2021-07-07,21.2,,
2021-07-14,21.2,,
2021-07-21,21.2,,
2021-07-28,21.2,,
2021-08-07,21.2,,
2021-08-14,21.2,,
2021-08-21,21.2,,
2021-08-28,21.2,,
2021-09-07,21.2,,
2021-09-14,21.2,,
2021-09-21,21.2,,
2021-09-28,21.2,,
2021-10-07,21.9,,
2021-10-14,21.9,,
2021-10-21,21.9,,
2021-10-28,21.9,,
2021-11-07,21.9,,
2021-11-14,21.9,,
2021-11-21,21.9,,
2021-11-28,21.9,,
2021-12-07,21.9,,
2021-12-14,21.9,,
2021-12-21,21.9,,
2021-12-28,21.9,,
2022-01-07,21.2,,
2022-01-14,21.2,,
2022-01-21,21.2,,
2022-01-28,21.2,,
2022-02-07,21.2,,
2022-02-14,21.2,,
2022-02-21,21.2,,
2022-02-28,21.2,,
2022-03-07,21.2,,
2022-03-14,21.2,,
2022-03-21,21.2,,
2022-03-28,21.2,,
2022-04-07,19.8,,
2022-04-14,19.8,,
2022-04-21,19.8,,
2022-04-28,19.8,,
2022-05-07,19.8,,
2022-05-14,19.8,,
2022-05-21,19.8,,
2022-05-28,19.8,,
2022-06-07,19.8,,
2022-06-14,19.8,,
2022-06-21,19.8,,
2022-06-28,19.8,,
2022-07-07,17.5,,
2022-07-14,17.5,,
2022-07-21,17.5,,
2022-07-28,17.5,,
2022-08-07,17.5,,
2022-08-14,17.5,,
2022-08-21,17.5,,
2022-08-28,17.5,,
2022-09-07,17.5,,
2022-09-14,17.5,,
2022-09-21,17.5,,
2022-09-28,17.5,,
2022-10-07,18.2,,
2022-10-14,18.2,,
2022-10-21,18.2,,
2022-10-28,18.2,,
2022-11-07,18.2,,
2022-11-14,18.2,,
2022-11-21,18.2,,
2022-11-28,18.2,,
2022-12-07,18.2,,
2022-12-14,18.2,,
2022-12-21,18.2,,
2022-12-28,18.2,,
2023-01-07,18.8,,
2023-01-14,18.8,,
2023-01-21,18.8,,
2023-01-28,18.8,,
2023-02-07,18.8,,
2023-02-14,18.8,,
2023-02-21,18.8,,
2023-02-28,18.8,,
2023-03-07,18.8,,
2023-03-14,18.8,,
2023-03-21,18.8,,
2023-03-28,18.8,,
2023-04-07,19.5,,
2023-04-14,19.5,,
2023-04-21,19.5,,
2023-04-28,19.5,,
2023-05-07,19.5,,
2023-05-14,19.5,,
2023-05-21,19.5,,
2023-05-28,19.5,,
2023-06-07,19.5,,
2023-06-14,19.5,,
2023-06-21,19.5,,
2023-06-28,19.5,,
2023-07-07,19.9,,
2023-07-14,19.9,,
2023-07-21,19.9,,
2023-07-28,19.9,,
2023-08-07,19.9,,
2023-08-14,19.9,,
2023-08-21,19.9,,
2023-08-28,19.9,,
2023-09-07,19.9,,
2023-09-14,19.9,,
2023-09-21,19.9,,
2023-09-28,19.9,,
2023-10-07,19.8,,
2023-10-14,19.8,,
2023-10-21,19.8,,
2023-10-28,19.8,,
2023-11-07,19.8,,
2023-11-14,19.8,,
2023-11-21,19.8,,
2023-11-28,19.8,,
2023-12-07,19.8,,
2023-12-14,19.8,,
2023-12-21,19.8,,
2023-12-28,19.8,,
