Date,Put/Call Ratio
11/1/2019,0.74
12/1/2019,0.99
1/1/2020,0.83
2/1/2020,0.72
3/1/2020,1.29
4/1/2020,1.19
5/1/2020,1.18
6/1/2020,0.83
7/1/2020,0.83
8/1/2020,0.67
9/1/2020,0.62
10/1/2020,0.78
11/1/2020,0.98
12/1/2020,0.65
1/1/2021,0.86
2/1/2021,0.77
3/1/2021,0.97
4/1/2021,0.72
5/1/2021,0.75
6/1/2021,0.66
7/1/2021,0.65
8/1/2021,0.89
9/1/2021,0.81
10/1/2021,0.94
11/1/2021,0.76
12/1/2021,0.99
1/1/2022,0.76
2/1/2022,0.95
3/1/2022,0.89
4/1/2022,1.02
5/1/2022,1.22
6/1/2022,1.05
7/1/2022,0.96
8/1/2022,1.02
9/1/2022,1.03
10/1/2022,0.96
11/1/2022,0.95
12/1/2022,0.96
1/1/2023,0.99
2/1/2023,0.9
3/1/2023,1.13
4/1/2023,0.94
5/1/2023,0.98
6/1/2023,0.88
7/1/2023,0.84
8/1/2023,0.84
9/1/2023,1.04
10/1/2023,1.09
11/1/2023,0.99
12/1/2023,0.84
1/1/2024,0.94
2/1/2024,1
3/1/2024,0.97
4/1/2024,0.94
5/1/2024,1.06
6/1/2024,0.89
7/1/2024,0.93
8/1/2024,0.92
9/1/2024,0.81
10/1/2024,0.88
11/1/2024,1.12
12/1/2024,0.87
1/1/2025,1.04
2/1/2025,0.93
3/1/2025,0.94
4/1/2025,0.91
5/1/2025,0.83
6/1/2025,0.85
7/1/2025,0.86
8/1/2025,0.94
9/1/2025,0.93
