date,ratio,deviation
1-Sep-25,29.61,0.66
1-Aug-25,29.58,2.63
1-Jul-25,29.06,4.15
1-Jun-25,27.83,5.11
1-May-25,26.82,3.38
1-Apr-25,24.78,-6.09
1-Mar-25,26.23,-4.66
1-Feb-25,28.15,-0.54
1-Jan-25,28.16,-1.10
1-Dec-24,28.60,0.11
1-Nov-24,28.66,0.92
1-Oct-24,28.45,1.35
1-Sep-24,28.09,0.51
1-Aug-24,27.67,-0.46
1-Jul-24,28.08,1.92
1-Jun-24,27.64,2.40
1-May-24,26.93,0.54
1-Apr-24,26.41,-0.43
1-Mar-24,27.02,3.70
1-Feb-24,26.14,3.87
1-Jan-24,25.01,2.96
1-Dec-23,24.35,3.41
1-Nov-23,23.51,0.44
1-Oct-23,22.78,-3.57
1-Sep-23,23.93,-1.46
1-Aug-23,24.16,-0.62
1-Jul-23,24.76,3.28
1-Jun-23,24.01,2.27
1-May-23,23.15,0.54
1-Apr-23,23.27,0.69
1-Mar-23,22.66,-1.31
1-Feb-23,23.40,1.93
1-Jan-23,22.82,1.36
1-Dec-22,22.65,4.28
1-Nov-22,22.07,4.95
1-Oct-22,20.44,-2.74
1-Sep-22,20.58,-2.22
1-Aug-22,22.03,5.17
1-Jul-22,20.53,-0.05
1-Jun-22,20.28,-4.17
1-May-22,20.81,-4.54
1-Apr-22,22.40,0.28
1-Mar-22,22.19,-1.70
1-Feb-22,22.42,-2.75
1-Jan-22,23.11,-2.71
1-Dec-21,23.63,-2.27
1-Nov-21,24.52,-0.94
1-Oct-21,24.39,-3.69
1-Sep-21,25.35,-2.67
1-Aug-21,26.23,-1.01
1-Jul-21,26.56,-2.00
1-Jun-21,26.70,-5.40
1-May-21,28.05,-4.88
1-Apr-21,29.92,-4.16
1-Mar-21,30.50,-8.22
1-Feb-21,33.24,-8.06
1-Jan-21,35.96,-4.00
1-Dec-20,39.26,5.42
1-Nov-20,37.16,4.45
1-Oct-20,35.30,1.85
1-Sep-20,34.27,1.67
1-Aug-20,34.41,5.19
1-Jul-20,32.44,5.15
1-Jun-20,31.29,10.33
1-May-20,28.82,12.89
1-Apr-20,24.97,0.97
1-Mar-20,22.80,-7.69
1-Feb-20,26.42,6.99
1-Jan-20,24.88,6.20
1-Dec-19,22.78,1.33
1-Nov-19,22.62,1.13
1-Oct-19,22.04,-0.05
1-Sep-19,22.44,1.40
1-Aug-19,21.67,-0.47
1-Jul-19,22.28,3.15
1-Jun-19,21.37,0.05
1-May-19,21.15,-0.19
1-Apr-19,21.56,2.63
1-Mar-19,20.86,2.49
1-Feb-19,20.60,3.71
1-Jan-19,19.60,-1.44
1-Dec-18,19.39,-5.12
1-Nov-18,20.67,-3.37
1-Oct-18,21.25,-3.22
1-Sep-18,22.25,-0.30
1-Aug-18,22.37,-0.12
1-Jul-18,22.33,-0.48
1-Jun-18,22.49,-0.06
1-May-18,22.49,-1.40
1-Apr-18,22.53,-3.11
1-Mar-18,23.41,-2.73
1-Feb-18,23.82,-2.16
1-Jan-18,24.97,2.57
1-Dec-17,24.25,1.42
1-Nov-17,23.81,0.95
1-Oct-17,23.67,1.28
1-Sep-17,23.28,0.06
1-Aug-17,23.16,-0.63
1-Jul-17,23.36,0.01
1-Jun-17,23.40,0.36
1-May-17,23.31,-0.31
1-Apr-17,23.24,-1.13
1-Mar-17,23.60,-0.10
1-Feb-17,23.68,0.01
1-Jan-17,23.59,0.10
1-Dec-16,23.76,0.85
1-Nov-16,23.35,-1.53
1-Oct-16,23.57,-2.28
1-Sep-16,24.22,-0.89
1-Aug-16,24.57,0.89
1-Jul-16,24.52,1.74
1-Jun-16,23.97,0.22
1-May-16,23.81,0.37
1-Apr-16,23.97,3.65
1-Mar-16,23.39,3.82
1-Feb-16,22.02,-2.77
1-Jan-16,22.18,-4.38
1-Dec-15,23.74,1.61
1-Nov-15,23.67,4.73
1-Oct-15,22.68,2.66
1-Sep-15,21.45,-2.50
1-Aug-15,22.15,-0.33
